Kanji	Significado	Leitura(s) ON	Leitura(s) KUN	Mnemônica	Nível JLPT
壊	Demolir, quebrar	カイ, エ	こわ・す, こわ・れる	Usar a terra (土) e o que está envolto (褱) para demolir ou quebrar.	N1
益	Benefício, lucro	エキ, ヤク	Não possui	O que transborda (丷, 一, 八) de um prato (皿) gerando benefício ou lucro.	N1
句	Frase	ク	Não possui	Palavras envoltas (勹) que saem pela boca (口) formando uma frase.	N1
属	Pertencer, gênero	ゾク	Não possui	O corpo (尸) de um animal (蜀) que indica a qual gênero ou grupo deve pertencer.	N1
功	Mérito, sucesso	コウ, ク	Não possui	O trabalho (工) realizado com muita força (力) que resulta em mérito ou sucesso.	N1
帝	Imperador	テイ, タイ	Não possui	Alguém de pé (立) sob uma cobertura (冖) e um pano (巾) como um imperador.	N1
賀	Parabéns, celebração	ガ	Não possui	Adicionar (加) dinheiro (貝) para celebrar e dar os parabéns.	N1
堀	Fosso, canal	クツ	ほり	A terra (土) que foi forçada a ceder (屈) para criar um fosso ou canal.	N1
創	Criar, ferida	ソウ	つく・る	Usar a faca (刂) no armazém (倉) para criar algo novo ou causar uma ferida.	N1
泣	Chorar	キュウ	な・く	A água (氵) que cai quando alguém fica de pé (立) para chorar.	N1
憶	Memória	オク	Não possui	O coração (忄) que foca em uma ideia (意) para manter a memória.	N1
幹	Tronco (de árvore)	カン	みき	Dez (十) anos cedo (早) na seca (干) fazem a árvore (木) ter um tronco forte.	N1
露	Orvalho, Rússia	ロ, ロウ	つゆ	A chuva (雨) que cai sobre o caminho (路) em forma de orvalho.	N1
矢	Flecha	シ	や	Um ser grande (大) que lança um traço (丿) rápido como uma flecha.	N1
握	Agarrar, aperto	アク	にぎ・る	Uma mão (扌) que se fecha sobre uma casa (屋) ao agarrar com força.	N1
儀	Cerimônia	ギ	Não possui	Uma pessoa (亻) que segue a justiça (義) em uma cerimônia.	N1
聴	Ouvir, escutar	チョウ	き・く	Usar o ouvido (耳) e um coração virtuoso (悳) para ouvir ou escutar.	N1
襲	Atacar	シュウ	おそ・う	O dragão (龍) que se esconde sob a roupa (衣) para atacar.	N1
徴	Sinal, coletar	チョウ, チ	しるし	Caminhar (彳) como um rei (王) na montanha (山) para tomar a ação (攵) de coletar um sinal.	N1
丁	Seção de cidade, contador	チョウ, テイ	Não possui	Desenho de um prego ou ferramenta para marcar uma seção de cidade ou servir de contador.	N1
憲	Constituição	ケン	Não possui	Sob o telhado (宀), proteger contra o dano (害) com os olhos (罒) e o coração (心) da constituição.	N1
閣	Gabinete, prédio alto	カク	Não possui	No portão (門), cada (各) oficial se reúne em um gabinete ou prédio alto.	N1
救	Resgate, salvação	キュウ	すく・う	Tomar a ação (攵) de buscar (求) alguém para o seu resgate ou salvação.	N1
陰	Sombra, escuro	イン	かげ, かげ・る	Um muro (阝) onde agora (今) as nuvens (云) trazem sombra e o escuro.	N1
繰	Enrolar, girar	ク	く・る	Usar o fio (糸) de diversos itens (品) de madeira (木) para enrolar ou girar.	N1
那	Que, aquele	ナ, ダ	Não possui	Uma faca (刀) usada duas (二) vezes nos muros (阝) para indicar que ou aquele lugar.	N1
操	Manipular, operar	ソウ	みさお, あやつ・る	Uma mão (扌) que lida com diversos itens (品) de madeira (木) para manipular ou operar.	N1
騒	Barulho, tumulto	ソウ	さわ・ぐ	Um tumulto causado por um cavalo (馬) e um inseto ou pulga (蚤): muito barulho.	N1
己	Si mesmo, próprio	コ, キ	おのれ	Desenho de um fio ou corda que volta para si mesmo ou para o próprio lugar.	N1
魔	Demônio, magia	マ	Não possui	Sob o cânhamo (麻), o demônio (鬼) pratica a sua magia.	N1
撮	Fotografar	サツ	と・る	Uma mão (扌) que busca o mais (最) importante ao fotografar.	N1
携	Carregar na mão	ケイ	たずさ・える, たずさ・わる	Uma mão (扌) que segura a ave (隹) e a leva adiante (乃) ao carregar na mão.	N1
隣	Vizinho	リン	とな・る, となり	Um muro (阝) onde se troca arroz (米) ao anoitecer (夕) com o vizinho.	N1
宣	Declarar, anunciar	セン	Não possui	Sob o telhado (宀), uma (一) ordem ao amanhecer (旦) para declarar ou anunciar.	N1
遣	Despachar, usar	ケン	つか・う, つか・わす	Percorrer o caminho (辶) no meio (中) de uma (一) tarefa ao despachar alguém.	N1
訴	Processar, reclamar	ソ	うった・える	Palavras (言) que servem para afastar (斥) um erro ao processar ou reclamar.	N1
茂	Crescer denso	モ, ボウ	しげ・る	Grama (艹) que cresce sob a proteção de uma lança (戊) de forma densa.	N1
釣	Pescar	チョウ	つ・る	O uso do metal (金) e de uma colher ou gancho (勺) para pescar.	N1
批	Crítica	ヒ	Não possui	Uma mão (扌) que faz uma comparação (比) ao realizar uma crítica.	N1
誘	Convidar, atrair	ユウ	さそ・う	Usar as palavras (言) com excelência (秀) para convidar ou atrair.	N1
核	Núcleo	カク	Não possui	A madeira (木) que guarda em seu núcleo o signo do porco (亥).	N1
哲	Filosofia, sábio	テツ	Não possui	Uma boca (口) que se dobra (折) em pensamentos profundos para a filosofia.	N1
豪	Luxuoso, grandioso	ゴウ	Não possui	Sob o topo (亠), a cobertura (冖) e a boca (口), o porco (豕) vive de forma luxuosa.	N1
締	Apertar, atar	テイ	し・まる, し・める	Usar o fio (糸) sob o comando do imperador (帝) para apertar ou atar.	N1
鹿	Cervo	ロク	しか, か	Sob o abrigo (广), comparar (比) a beleza da pele do cervo.	N1
就	Assumir cargo, começar	シュウ, ジュ	つ・く, つ・ける	Ir para a capital (京) e se destacar como alguém especial (尤) ao assumir um cargo.	N1
滅	Destruir, ruína	メツ	ほろ・びる, ほろ・ぼす	A água (氵) e o fogo (火) sob a lança (戌) que causam a destruição.	N1
仰	Olhar para cima, reverenciar	ギョウ, コウ	あお・ぐ, おお・せ	Uma pessoa (亻) que se volta para o alto (卬) para reverenciar ou olhar para cima.	N1
瀬	Corredeiras	ライ	せ	A água (氵) que flui com a confiança (頼) das corredeiras.	N1
致	Causar, fazer	チ	いた・す	Chegar ao ápice (至) e tomar uma ação (攵) para causar ou efetivar algo.	N1
伏	Submeter-se, abaixar	フク	ふ・せる, ふ・す	Uma pessoa (亻) agindo como um cachorro (犬) ao se submeter ou abaixar.	N1
杉	Cedro	サン	すぎ	A madeira (木) com ornamentos (彡) longos que formam o cedro.	N1
審	Examinar com cuidado	シン	Não possui	Sob o telhado (宀), observar a ordem (番) das coisas para as examinar com cuidado.	N1
避	Evitar	ヒ	さ・ける	Percorrer o caminho (辶) fugindo da punição (辟) para evitar um problema.	N1
揺	Balançar	ヨウ	ゆ・れる, ゆ・る, ゆ・らぐ, ゆ・るぐ, ゆ・する, ゆ・さぶる, ゆ・すぶる	Uma mão (扌) agitando uma garra (爫) sobre uma lata (缶) ao balançar.	N1
浦	Baía, litoral	ホ	うら	A água (氵) que banha o campo (甫) de uma baía ou litoral.	N1
至	Chegar a, ápice	シ	いた・る	Uma linha (一) privada (厶) sobre a terra (土) para chegar ao ápice.	N1
裕	Abundante, rico	ユウ	Não possui	Roupas (衤) guardadas no vale (谷) indicando que o local é rico ou abundante.	N1
盟	Aliança	メイ	Não possui	Sob o brilho da luz (明), um prato (皿) sela o compromisso de uma aliança.	N1
執	Realizar uma tarefa, tenacidade	シツ, シュウ	と・る	Buscar a felicidade (幸) com tenacidade ao girar em círculo (丸) para realizar uma tarefa.	N1
崩	Desmoronar, colapso	ホウ	くず・れる, くず・す	A montanha (山) e os amigos (朋) que testemunham o desmoronar de uma encosta.	N1
鬼	Demônio, fantasma	キ	おに	Representação visual e estilizada da face de um demônio ou fantasma.	N1
酸	Ácido, azedo	サン	す・い	Um jarro de vinho (酉) deixado ao sol (夋) por muito tempo acaba por ficar ácido.	N1
拡	Expandir	カク	Não possui	Uma mão (扌) que se move em um espaço amplo (広) para expandir.	N1
銃	Arma de fogo	ジュウ	Não possui	O uso do metal (金) para preencher (充) uma arma de fogo.	N1
維	Fibra, manter	イ	Não possui	O fio (糸) que mantém a ave (隹) presa à sua fibra ou manutenção.	N1
縄	Corda	ジョウ	なわ	O fio (糸) trançado com a força de um sapo (黽) para formar uma corda forte.	N1
詩	Poema	シ	Não possui	Palavras (言) proferidas dentro do templo (寺) para criar um poema.	N1
廃	Abolir, descarte	ハイ	すた・れる, すた・る	Sob o abrigo (广), emitir (発) o sinal de abolir ou descartar algo.	N1
充	Alocar, preencher	ジュウ	あ・てる	Alocar (亠, ム) os recursos para a criança (儿) e a preencher de conhecimento.	N1
鏡	Espelho	キョウ, ケイ	かがみ	O metal (金) que reflete o fim (竟) da luz em um espelho.	N1
仮	Temporário, falso	カ, ケ	かり	Uma pessoa (亻) que age de forma oposta (反) por ser algo apenas temporário.	N1
吐	Vomitar, cuspir	ト	は・く	A boca (口) que coloca na terra (土) o que foi expelido ao vomitar.	N1
請	Solicitar, requisitar	セイ, シン	こ・う, う・ける	Palavras (言) ditas sob o céu azul (青) para solicitar ou requisitar algo.	N1
眺	Olhar de longe, vista	チョウ	なが・める	O olho (目) que observa o sinal (兆) ao longe para olhar de longe.	N1
沖	Mar aberto	チュウ	おき	A água (氵) que flui pelo meio (中) de um mar aberto.	N1
躍	Saltar, ser ativo	ヤク	おど・る	Os pés (足) de uma ave (翟) que se movem rapidamente ao saltar.	N1
威	Ameaça, dignidade	イ	Não possui	O signo da lança (戌) e a mulher (女) que impõem dignidade perante uma ameaça.	N1
屈	Ceder, dobrar-se	クツ	Não possui	O corpo (尸) que sai (出) de sua posição original ao ceder ou dobrar-se.	N1
勘	Intuição, considerar	カン	Não possui	Usar a força (力) de forma extrema (甚) seguindo a própria intuição.	N1
徹	Exaustivo, penetrar	テツ	Não possui	Caminhar (彳) para educar (育) e agir (攵) de forma exaustiva ou penetrante.	N1
斎	Purificar, culto	サイ	Não possui	O alinhamento (斉) cerimonial diante de um altar (示) para se purificar.	N1
謝	Desculpas, gratidão	シャ	あやま・る	Palavras (言) que se atiram (射) em direção ao outro ao pedir desculpas ou gratidão.	N1
艦	Navio de guerra	カン	Não possui	Um barco (舟) que supervisiona (監) a batalha como um navio de guerra.	N1
催	Realizar (evento), urgir	サイ	もよお・す	Uma pessoa (亻) na montanha (崔) que precisa realizar um evento com urgência.	N1
舎	Prédio, alojamento	シャ	Não possui	Pessoas (人) que vivem sobre a terra (土) com uma boca (口) para alimentar em um alojamento.	N1
仁	Humanidade, benevolência	ジン, ニ	Não possui	Uma pessoa (亻) agindo por dois (二) com humanidade e benevolência.	N1
衝	Colisão, impulso	ショウ	Não possui	Seguir pelo caminho (行) com um fardo pesado (重) resulta em uma colisão.	N1
脚	Perna, pé	キャク, キャ	あし	Parte do corpo (月) que se usa para rejeitar (却) algo com um chute: a perna.	N1
虎	Tigre	コ	とら	Um animal com a pele listrada (虍) que caminha sobre pernas (儿) fortes: o tigre.	N1
潮	Maré	チョウ	しお	A água (氵) que sobe todas as manhãs (朝) como uma maré.	N1
穴	Buraco, caverna	ケツ	あな	Sob um telhado (宀), as partes (八) que formam um buraco ou caverna.	N1
怪	Mistério, monstro	カイ	あや・しい, あや・しむ	Um sentimento no coração (忄) diante de algo sagrado (圣) ou estranho: um mistério.	N1
仙	Eremita, místico	セン	Não possui	Uma pessoa (亻) que vive na montanha (山) como um eremita.	N1
輝	Brilho, radiante	キ	かがや・く	O brilho (光) de um exército (軍) em marcha é radiante.	N1
緊	Tensão, apertar	キン	Não possui	Um retentor (臣) que usa a mão (又) para apertar os fios (糸) de uma tensão.	N1
唇	Lábio	シン	くちびる	O tempo do dragão (辰) que se expressa pela boca (口) através do lábio.	N1
忍	Suportar, ocultar	ニン, ジン	しの・ぶ, しの・ばせる	Uma lâmina (刃) sobre o coração (心) que se deve suportar ou ocultar.	N1
狂	Louco, enlouquecer	キョウ	くる・う, くる・おしい	Um animal (犭) que se comporta como um rei (王) ao enlouquecer.	N1
奪	Tomar, roubar	ダツ	うば・う	Um ser grande (大) que usa a ave (隹) e a medida (寸) para tomar ou roubar algo.	N1
診	Examinar, diagnosticar	シン	み・る	Usar as palavras (言) e observar os ornamentos (㐱) para examinar ou diagnosticar.	N1
竜	Dragão	リュウ, リョウ, リン	たつ	Ficar de pé (立) no campo (田) com um rabo longo (乚) como um dragão.	N1
債	Dívida	サイ	Não possui	Uma pessoa (亻) que carrega a responsabilidade (責) de uma dívida.	N1
鈴	Sino	レイ, リン	すず	O metal (金) que segue a ordem (令) de emitir som: um sino.	N1
僧	Monge budista	ソウ	Não possui	Uma pessoa (亻) que medita sobre o que aconteceu antigamente (曽): um monge.	N1
掲	Exibir, pendurar	ケイ	かか・げる	Usar a mão (扌) para mostrar algo em um dia quente (曷) ao exibir ou pendurar.	N1
伯	Chefe, tio mais velho	ハク, ハ	Não possui	Uma pessoa (亻) de cabelos brancos (白) que é o chefe ou tio mais velho.	N1
熊	Urso	ユウ	くま	A habilidade (能) de um animal que se aquece no fogo (灬): o urso.	N1
浪	Vagar, onda	ロウ	Não possui	A água (氵) que é considerada boa (良) ao vagar como uma onda.	N1
梅	Ameixa	バイ	うめ	A árvore (木) que floresce toda (毎) primavera: a ameixa.	N1
看	Cuidar, observar	カン	Não possui	Colocar a mão (手) sobre o olho (目) para cuidar ou observar.	N1
俊	Gênio, excelência	シュン	Não possui	Uma pessoa (亻) que corre como um cavalo ao sol (夋) por ser um gênio.	N1
摘	Colher, apontar	テキ	つ・む	Usar a mão (扌) para pegar o caule (啇) ao colher ou apontar.	N1
項	Cláusula, item	コウ	Não possui	O trabalho (工) registrado em uma página (頁) como uma cláusula ou item.	N1
霊	Espírito, alma	レイ, リョウ	たま	Sob a chuva (雨), o brilho (⺍) e a alma (彐) formam o espírito.	N1
垣	Cerca, sebe	エン	かき	A terra (土) que se estende por todo o espaço (亘) como uma cerca.	N1
慢	Arrogante, preguiçoso	マン, バン	Não possui	O coração (忄) de quem se sente longo e amplo (曼) na arrogância.	N1
扱	Lidar, tratar	キュウ, ソウ	あつか・う	Usar a mão (扌) para alcançar (及) e lidar ou tratar algo.	N1
渉	Atravessar, envolver	ショウ	Não possui	A água (氵) por onde se deve andar (歩) para atravessar ou envolver.	N1
如	Como, similar	ジョ, ニョ	ごと・し	Uma mulher (女) que usa a boca (口) para agir como ou de forma similar.	N1
縮	Encolher, contrair	シュク	ちぢ・む, ちぢ・まる, ちぢ・める, ちぢ・れる, ちぢ・らす	Usar os fios (糸) em uma hospedagem (宿) para os encolher.	N1
詳	Detalhado, conhecer bem	ショウ	くわ・しい	Usar palavras (言) sobre uma ovelha (羊) de forma detalhada.	N1
旦	Amanhecer, manhã	タン, ダン	Não possui	O sol (日) surgindo sobre a linha do horizonte (一) no amanhecer.	N1
慮	Consideração, prudência	リョ	おもんぱか・る	Sob a marca do tigre (虍), os pensamentos (思) exigem prudência e consideração.	N1
雅	Elegância, graça	ガ	Não possui	Um pássaro (隹) com presas (牙) ou bico forte que tem elegância.	N1
砲	Canhão, arma de fogo	ホウ	Não possui	Uma pedra (石) envolta em um pacote (包) para ser um canhão.	N1
謀	Esquema, estratégia	ボウ, ム	はか・る	Usar palavras (言) sobre um certo (某) assunto para um esquema ou estratégia.	N1
懐	Coração, bolso, nostalgia	カイ, エ	ふところ, なつ・かしい, なつ・かしむ, なつ・く, なつ・ける	O coração (忄) que se sente envolto (褱) em nostalgia ou afeto.	N1
愚	Tolo, estúpido	グ	おろ・か	O sinal do fantasma (禺) no coração (心) de quem é tolo.	N1
舌	Língua	ゼツ	した	Mil (千) sabores que passam pela boca (口) através da língua.	N1
駄	Inútil, fardo	ダ, タイ	Não possui	Um cavalo (馬) carregando algo grosso ou pesado (太) como um fardo inútil.	N1
奴	Sujeito, escravo	ド, ヌ	やっこ	Uma mulher (女) sob a mão (又) de um mestre como um sujeito ou escravo.	N1
豆	Feijão, miniatura	トウ, ズ	まめ	Uma (一) boca (口) sobre um suporte (䒑) representando o feijão.	N1
又	Novamente, além disso	ユウ	また	O desenho de uma mão indicando novamente ou além disso.	N1
銭	Dinheiro, moeda	セン	ぜに	O metal (金) reduzido a pequenas lanças (戔) para ser dinheiro.	N1
抑	Reprimir, conter	ヨク	おさ・える	Usar a mão (扌) para empurrar alguém para cima (卬) ao reprimir.	N1
侍	Samurai, servir	ジ, シ	さむらい	Uma pessoa (亻) que serve em um templo (寺) como um samurai.	N1
宙	Espaço sideral, ar	チュウ	Não possui	Sob o telhado (宀), a razão ou origem (由) de tudo o que existe no espaço sideral.	N1
範	Modelo, padrão	ハン	Não possui	Usar o bambu (竹) e um carro (車) sob a supervisão de um oficial (㔾) como um modelo.	N1
潜	Mergulhar, esconder-se	セン	ひそ・む, もぐ・る	A água (氵) onde se substitui ou troca (替) de lugar ao mergulhar.	N1
酔	Bêbado, intoxicado	スイ	よ・う	Beber do jarro de vinho (酉) dezenove (九, 十) vezes até ficar completamente bêbado.	N1
呂	Som ro, espinha	ロ, リョ	Não possui	Duas bocas (口) unidas por um traço (丿) representando a estrutura da espinha.	N1
還	Retornar, devolver	カン	Não possui	Seguir pelo caminho (辶) levando um item precioso (睘) para o retornar ao dono.	N1
丹	Vermelhão, sinceridade	タン	Não possui	Dentro de um espaço (冂), um (一) traço vertical (丨) e um ponto (丶) de sinceridade.	N1
亜	Sub-, Ásia	ア	Não possui	Dois (二) traços entre a boca (口) e uma linha (丨) para representar a Ásia.	N1
亀	Tartaruga	キ, キュウ, キン	かめ	A carapaça como um campo (田) com ganchos (⺈, 乚) representando uma tartaruga.	N1
沼	Pântano, brejo	ショウ	ぬま	A água (氵) que convoca (召) as criaturas para as profundezas do pântano.	N1
巡	Patrulhar, circular	ジュン	めぐ・る	Seguir pelo caminho (辶) o fluxo sinuoso de um rio (巛) ao patrulhar a área.	N1
臭	Fedor, mau cheiro	シュウ	くさ・い, にお・う	De si mesmo (自) e de algo grande (大) em excesso vem o mau cheiro.	N1
慶	Celebração, júbilo	ケイ	Não possui	Sob um abrigo (广), o coração (心) de um cervo (鹿) em passos (夂) de celebração.	N1
距	Distância	キョ	Não possui	Usar o pé (足) para medir uma gigante (巨) distância.	N1
釈	Explicação, libertação	シャク, セキ	Não possui	Observar as sementes (釆) com uma medida (尺) exata para dar uma explicação.	N1
侵	Invadir, violar	シン	おか・す	Uma pessoa (亻) que usa a mão (彐, 又) sob a cobertura (冖) para invadir.	N1
僚	Colega, oficial	リョウ	Não possui	Uma pessoa (亻) que brilha (尞) e se destaca como um bom colega de trabalho.	N1
悟	Iluminação, compreender	ゴ	さと・る	O coração (忄) que usa a boca (口) e o número cinco (五) para atingir a iluminação.	N1
隆	Prosperidade, elevação	リュウ	Não possui	No muro (阝), passos (夂) que trazem vida (生) e prosperidade com a elevação.	N1
裂	Rasgar, fenda	レツ	さ・く, さ・ける	Uma fila (列) de roupas (衣) que acabaram por se rasgar devido ao uso.	N1
尋	Perguntar, investigar	ジン	たず・ねる	Usar a mão (彐), o trabalho (工) e a boca (口) com medida (寸) ao investigar.	N1
旗	Bandeira	キ	はた	Seguir a direção (方) com o que (其) está hasteado (𠂉) servindo como bandeira.	N1
羅	Fio fino, rede	ラ	Não possui	Uma rede (罒) de fios (糸) para capturar a ave (隹) fina como um fio de seda.	N1
揮	Empunhar, exibir	キ	Não possui	Uma mão (扌) que lidera um exército (軍) ao empunhar a sua arma.	N1
票	Voto, cédula	ヒョウ	Não possui	Colocar a cobertura (覀) sobre o altar (示) ao entregar o seu voto ou cédula.	N1
稲	Planta de arroz	トウ	いね, いな	O grão (禾) que é coletado com a concha (舀) representando a planta de arroz.	N1
胞	Célula, saco (biologia)	ホウ	Não possui	Parte do corpo (月) envolta em um pacote (包) agindo como uma célula.	N1
懸	Pendurar, suspender	ケン, ケ	か・ける, か・かる	Na província (県), o coração (心) unido por fios (糸) está em suspensão.	N1
稿	Rascunho, manuscrito	コウ	Não possui	O grão (禾) que atinge um nível alto (高) ao ser registrado em um rascunho.	N1
塚	Túmulo, monte	チョウ	つか	Usar a terra (土) para erguer um monte (冢) sobre o local do túmulo.	N1
盤	Bandeja, tabuleiro	バン, ハン	Não possui	O modo geral (般) de servir o alimento no prato (皿) ou no tabuleiro.	N1
災	Desastre, calamidade	サイ	わざわ・い	O rio (巛) em fúria e o fogo (火) que juntos trazem um grande desastre.	N1
曹	Oficial subordinado	ソウ	Não possui	Uma (一) melodia (曲) ouvida durante o dia (日) por um oficial subordinado.	N1
尽	Esgotar, fazer o máximo	ジン	つ・くす, つ・きる, つ・かす	Usar a medida (尺) sob o gelo (冫) até esgotar completamente as forças.	N1
嫁	Noiva, casar-se (mulher)	カ	よめ, とつ・ぐ	Uma mulher (女) que se une a uma nova casa (家) ao se tornar a noiva.	N1
繁	Prosperar, abundante	ハン	Não possui	Usar a agilidade (敏) e os fios (糸) para prosperar em abundância.	N1
即	Imediato, ou seja	ソク	Não possui	Sentar-se para comer (皀) e receber imediatamente a ordem (卩) para partir.	N1
帳	Caderno, cortina	チョウ	Não possui	Um pano (巾) que se estende por um longo (長) tempo servindo como cortina.	N1
飾	Enfeite, decoração	ショク	かざ・る	Alimento (飠) colocado sob um pano (巾) e ferramentas (𠂤) para servir de enfeite.	N1
沿	Ao longo de, margear	エン	そ・う	A água (氵) que flui pelo vale (㕣) margeando ou seguindo ao longo de algo.	N1
獲	Caçar, capturar	カク	え・る	Um animal (犭) sob a grama (艹) que pega a ave (隹) com a mão (又) ao capturar.	N1
伴	Acompanhar	ハン, バン	ともな・う	Uma pessoa (亻) que caminha ao lado de metade (半) do grupo ao acompanhar.	N1
唐	China, dinastia Tang	トウ	から	Sob um abrigo (广), usar a mão (⺕) e a boca (口) para falar da China.	N1
狭	Estreito, apertado	キョウ	せま・い, せば・める, せば・まる	Um animal (犭) preso entre duas coisas (夹) em um local muito estreito.	N1
添	Anexar, adicionar	テン	そ・える, そ・う	A água (氵) que cai do céu (天) no coração (㣺) ao adicionar ou anexar algo.	N1
剤	Remédio, dose	ザイ, セイ	Não possui	A purificação (斉) feita com uma faca (刂) para preparar a dose do remédio.	N1
魅	Fascinar, encantar	ミ	Não possui	O demônio (鬼) que ainda não (未) foi visto, mas consegue fascinar.	N1
契	Promessa, contrato	ケイ	ちぎ・る	A abundância (丰) cortada pela faca (刀) por um ser grande (大) em um contrato.	N1
邪	Mal, perverso	ジャ	Não possui	O uso de presas (牙) perto de um muro (阝) representa algo perverso ou mau.	N1
挑	Desafiar	チョウ	いど・む	Uma mão (扌) que vê o sinal (兆) de oportunidade e decide desafiar.	N1
免	Isenção, permissão	メン	まぬか・れる	Uma pessoa (儿) que usa a boca (口) para pedir a isenção de uma garra (⺈) ou punição.	N1
爵	Título de nobreza	シャク	Não possui	Um título de nobreza medido (寸) por quem vigia com a rede (罒) e a garra (爫).	N1
択	Escolher	タク	Não possui	Usar a mão (扌) e uma medida (尺) exata para escolher a melhor opção.	N1
廊	Corredor	ロウ	Não possui	Sob um abrigo (广), o jovem (郎) caminha pelo longo corredor.	N1
析	Análise	セキ	Não possui	Usar o machado (斤) para cortar a madeira (木) em partes para uma análise.	N1
輩	Companheiro, geração	ハイ	Não possui	Companheiros de uma geração que viajam em um carro (車) apesar do erro (非).	N1
敏	Ágil, alerta	ビン	Não possui	Tomar uma ação (攵) toda (毎) vez com rapidez por estar ágil e alerta.	N1
鶴	Grou (ave)	カク	つる	O pássaro (鳥) que é o grou (寉) voando majestoso.	N1
虚	Vazio, falso	キョ, コ	Não possui	O rugido do tigre (虍) em meio ao trabalho (业) era apenas um vazio ou falso alarme.	N1
往	Viagem de ida	オウ	Não possui	Dar passos (彳) seguindo o mestre (主) em uma viagem de ida.	N1
趣	Essência, interesse	シュ	おもむき	Correr (走) para pegar (取) algo que desperta o seu interesse ou essência.	N1
烈	Violento, intenso	レツ	Não possui	Uma fila (列) de chamas de fogo (灬) de forma violenta e intensa.	N1
索	Busca, corda	サク	Não possui	Usar dez (十) fios (糸) sob uma cobertura (冖) na busca por uma corda forte.	N1
匂	Cheiro, aroma	Não possui	にお・う	O que envolve (勹) uma pessoa (ヒ) como um agradável cheiro ou aroma.	N1
摩	Esfregar, roçar	マ	Não possui	Usar a mão (手) para esfregar as fibras do cânhamo (麻).	N1
菊	Crisântemo	キク	Não possui	A grama (艹) que envolve (勹) grãos de arroz (米) como a flor do crisântemo.	N1
滑	Escorregar, liso	カツ, コツ	すべ・る, なめ・らか	A água (氵) sobre o osso (骨) torna a superfície lisa e fácil de escorregar.	N1
沙	Areia	サ, シャ	Não possui	Onde há pouca (少) água (氵) e muita areia.	N1
裸	Nu, despido	ラ	はだか	Quando a fruta (果) está sem a sua roupa (衤) ou casca, está nua.	N1
孝	Piedade filial	コウ	Não possui	O filho (子) que carrega o idoso (耂) em sinal de piedade filial.	N1
綱	Corda (grossa)	コウ	つな	Unir os fios (糸) na colina (岡) para formar uma corda grossa.	N1
邸	Mansão, residência	テイ	Não possui	Onde um clã (氏) vive protegido por altos muros (阝): uma mansão.	N1
邦	Nação, país	ホウ	Não possui	Uma terra de abundância (丰) protegida por muros (阝) em sua nação.	N1
揚	Erguer, fritar	ヨウ	あ・げる, あ・がる	Usar a mão (扌) para erguer o alimento sob o brilho (昜) do fogo ao fritar.	N1
卓	Eminente, mesa	タク	Não possui	Um sinal (卜) que aparece cedo (早) para marcar alguém como eminente.	N1
騎	Cavalgar	キ	Não possui	Um homem estranho (奇) que sabe cavalgar muito bem em seu cavalo (馬).	N1
墓	Túmulo	ボ	はか	Onde a terra (土) encontra a escuridão (莫) final: o túmulo.	N1
姫	Princesa	キ	ひめ	Uma mulher (女) que tem um retentor (臣) ao seu serviço: a princesa.	N1
孔	Buraco, cavidade	コウ, ク	Não possui	Uma criança (子) que faz um movimento de gancho (乚) ao passar por um buraco.	N1
耐	Suportar, resistir	タイ	た・える	Usar uma medida (寸) de força sobre a base (而) para suportar ou resistir.	N1
須	Indispensável	ス, シュ	すべから・く	Os ornamentos (彡) na cabeça (頁) de quem é indispensável.	N1
臨	Encarar, comparecer	リン	のぞ・む	O retentor (臣) que organiza os itens (品) ao comparecer para encarar o mestre.	N1
献	Ofertar, doar	ケン, コン	Não possui	Trazer do sul (南) um cachorro (犬) para ofertar como presente.	N1
脈	Veia, pulso	ミャク	Não possui	No corpo (月), a correnteza (𠂢) de sangue que forma a veia ou o pulso.	N1
芝	Grama, gramado	シ	しば	A grama (艹) que se espalha em um movimento (之) pelo campo.	N1
唱	Recitar, cantar	ショウ	とな・える	Usar a boca (口) para recitar ou cantar com brilho (昌).	N1
亭	Pavilhão, restaurante	テイ	Não possui	Um local com topo (亠), cobertura (冖) e uma boca (口) em uma seção (丁) da rua: um pavilhão.	N1
誕	Nascimento	タン	Não possui	Palavras (言) que se prolongam (延) para celebrar um nascimento.	N1
貫	Perfurar, peso antigo	カン	つらぬ・く	Não (毋) deixar o dinheiro (貝) parado, mas sim o perfurar ou atravessar com investimentos.	N1
偽	Falso, enganar	ギ	いつわ・る, にせ	Uma pessoa (亻) cuja ação (為) é falsa ou visa enganar.	N1
奮	Agitar-se, entusiasmar	フン	ふる・う	Uma grande (大) ave (隹) que se agita com entusiasmo sobre o campo (田).	N1
桜	Cerejeira	オウ	さくら	A árvore (木) com um brilho (ツ) de flores que encanta a mulher (女): a cerejeira.	N1
熟	Amadurecer	ジュク	う・れる	Desfrutar (享) do que foi cozido no fogo (灬) até ficar redondo (丸) e maduro.	N1
排	Expulsar, rejeitar	ハイ	Não possui	Usar a mão (扌) para afastar o erro (非) ao expulsar ou rejeitar algo.	N1
透	Transparente, permear	トウ	す・く, す・かす, す・ける	Percorrer o caminho (辶) com tal excelência (秀) que tudo se torna transparente.	N1
棄	Abandonar, descartar	キ	Não possui	Usar as mãos (廾) sob um topo (亠) e um espaço privado (厶) para descartar a madeira (木).	N1
削	Raspar, reduzir	サク	けず・る	Usar a faca (刂) para deixar algo na semelhança (肖) desejada ao raspar.	N1
